SOURCE PKS0408-65 4.13900 -65.75249
COEFF 3.0000000000000000e+00 2.2000000000000000e+01 -1.0093913772873583e-07
COEFF 4.0000000000000000e+00 0.0000000000000000e+00 2.8628495275050194e-05
COEFF 4.0000000000000000e+00 1.0000000000000000e+00 -1.4505655732134272e-06
COEFF 4.0000000000000000e+00 2.0000000000000000e+00 -2.7578513194256286e-06
COEFF 4.0000000000000000e+00 3.0000000000000000e+00 1.1762196573917918e-06
COEFF 4.0000000000000000e+00 4.0000000000000000e+00 -3.4932438786113227e-07
COEFF 4.0000000000000000e+00 5.0000000000000000e+00 -4.4013402592741600e-07
COEFF 4.0000000000000000e+00 6.0000000000000000e+00 -8.1538345549230780e-08
COEFF 4.0000000000000000e+00 7.0000000000000000e+00 6.1937849080344351e-09
COEFF 4.0000000000000000e+00 8.0000000000000000e+00 4.9849811894408188e-07
COEFF 4.0000000000000000e+00 9.0000000000000000e+00 2.4124657021717451e-08
COEFF 4.0000000000000000e+00 1.0000000000000000e+01 -4.3756839688116925e-07
COEFF 4.0000000000000000e+00 1.1000000000000000e+01 1.7617886533162941e-07
COEFF 4.0000000000000000e+00 1.2000000000000000e+01 1.3364102740844833e-07
COEFF 4.0000000000000000e+00 1.3000000000000000e+01 -4.0680741691720753e-07
COEFF 4.0000000000000000e+00 1.4000000000000000e+01 1.6463846953368142e-07
COEFF 4.0000000000000000e+00 1.5000000000000000e+01 5.4420277623987838e-07
COEFF 4.0000000000000000e+00 1.6000000000000000e+01 -3.4261172928613752e-07
COEFF 4.0000000000000000e+00 1.7000000000000000e+01 -5.4312978992588006e-07
COEFF 4.0000000000000000e+00 1.8000000000000000e+01 3.8290718698998589e-07
COEFF 4.0000000000000000e+00 1.9000000000000000e+01 4.0402482626700477e-07
COEFF 4.0000000000000000e+00 2.0000000000000000e+01 -3.1521823445494001e-07
COEFF 4.0000000000000000e+00 2.1000000000000000e+01 -1.7380944622104290e-07
COEFF 5.0000000000000000e+00 0.0000000000000000e+00 -1.2485919866468574e-06
COEFF 5.0000000000000000e+00 1.0000000000000000e+00 9.6981043840969266e-07
COEFF 5.0000000000000000e+00 2.0000000000000000e+00 -2.2551025858295474e-06
COEFF 5.0000000000000000e+00 3.0000000000000000e+00 1.8737805463758720e-06
COEFF 5.0000000000000000e+00 4.0000000000000000e+00 -1.4718222875586407e-07
COEFF 5.0000000000000000e+00 5.0000000000000000e+00 -1.9948511150156536e-06
COEFF 5.0000000000000000e+00 6.0000000000000000e+00 1.1791261504294265e-06
COEFF 5.0000000000000000e+00 7.0000000000000000e+00 1.0206823870241010e-06
COEFF 5.0000000000000000e+00 8.0000000000000000e+00 -9.1167630915199469e-07
COEFF 5.0000000000000000e+00 9.0000000000000000e+00 -7.7467969379157500e-08
COEFF 5.0000000000000000e+00 1.0000000000000000e+01 2.5592126104847485e-07
COEFF 5.0000000000000000e+00 1.1000000000000000e+01 -4.0311625239609763e-07
COEFF 5.0000000000000000e+00 1.2000000000000000e+01 2.2308223951601862e-07
COEFF 5.0000000000000000e+00 1.3000000000000000e+01 4.2895193407825781e-07
COEFF 5.0000000000000000e+00 1.4000000000000000e+01 -3.7292574895178358e-07
COEFF 5.0000000000000000e+00 1.5000000000000000e+01 -1.7647478525773517e-07
COEFF 5.0000000000000000e+00 1.6000000000000000e+01 2.5714674874076616e-07
COEFF 5.0000000000000000e+00 1.7000000000000000e+01 -1.6997067926466435e-07
COEFF 5.0000000000000000e+00 1.8000000000000000e+01 -3.6621061741382518e-09
COEFF 5.0000000000000000e+00 1.9000000000000000e+01 4.5291341484956726e-07
COEFF 5.0000000000000000e+00 2.0000000000000000e+01 -2.5019836961048043e-07
COEFF 6.0000000000000000e+00 0.0000000000000000e+00 1.7718473285684335e-06
COEFF 6.0000000000000000e+00 1.0000000000000000e+00 -2.7562590865631524e-07
COEFF 6.0000000000000000e+00 2.0000000000000000e+00 8.3418386906657129e-08
COEFF 6.0000000000000000e+00 3.0000000000000000e+00 1.1478908200636458e-06
COEFF 6.0000000000000000e+00 4.0000000000000000e+00 -4.5618212195242128e-07
COEFF 6.0000000000000000e+00 5.0000000000000000e+00 -1.2715594415279423e-06
COEFF 6.0000000000000000e+00 6.0000000000000000e+00 5.7742795221087058e-07
COEFF 6.0000000000000000e+00 7.0000000000000000e+00 1.0117109131099852e-06
COEFF 6.0000000000000000e+00 8.0000000000000000e+00 -5.7419189261922583e-07
COEFF 6.0000000000000000e+00 9.0000000000000000e+00 -6.3590979556293469e-07
COEFF 6.0000000000000000e+00 1.0000000000000000e+01 4.8332723364441260e-07
COEFF 6.0000000000000000e+00 1.1000000000000000e+01 2.9741918009476167e-07
COEFF 6.0000000000000000e+00 1.2000000000000000e+01 -3.5507767203084058e-07
COEFF 6.0000000000000000e+00 1.3000000000000000e+01 -6.2812375957896409e-08
COEFF 6.0000000000000000e+00 1.4000000000000000e+01 2.3326889959427601e-07
COEFF 6.0000000000000000e+00 1.5000000000000000e+01 -5.4911414554832482e-08
COEFF 6.0000000000000000e+00 1.6000000000000000e+01 -1.3965165530185335e-07
COEFF 6.0000000000000000e+00 1.7000000000000000e+01 6.2589348611798409e-08
COEFF 6.0000000000000000e+00 1.8000000000000000e+01 8.2478273061808845e-08
COEFF 6.0000000000000000e+00 1.9000000000000000e+01 1.4757621824963316e-08
COEFF 7.0000000000000000e+00 0.0000000000000000e+00 2.1962575966338148e-06
COEFF 7.0000000000000000e+00 1.0000000000000000e+00 -1.4846727139049922e-06
COEFF 7.0000000000000000e+00 2.0000000000000000e+00 -1.4816440473490173e-07
COEFF 7.0000000000000000e+00 3.0000000000000000e+00 8.7404791012430564e-07
COEFF 7.0000000000000000e+00 4.0000000000000000e+00 5.0657367592208457e-07
COEFF 7.0000000000000000e+00 5.0000000000000000e+00 -1.0454069136262224e-06
COEFF 7.0000000000000000e+00 6.0000000000000000e+00 -3.2141432190318670e-07
COEFF 7.0000000000000000e+00 7.0000000000000000e+00 1.2567133817128067e-06
COEFF 7.0000000000000000e+00 8.0000000000000000e+00 -1.9521216918205879e-07
COEFF 7.0000000000000000e+00 9.0000000000000000e+00 -1.1863299031425414e-06
COEFF 7.0000000000000000e+00 1.0000000000000000e+01 6.2634455504708030e-07
COEFF 7.0000000000000000e+00 1.1000000000000000e+01 8.5133862200744354e-07
COEFF 7.0000000000000000e+00 1.2000000000000000e+01 -8.0156118103686603e-07
COEFF 7.0000000000000000e+00 1.3000000000000000e+01 -3.8538595564036551e-07
COEFF 7.0000000000000000e+00 1.4000000000000000e+01 7.2758118969898268e-07
